Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
מצוין,מְצֻיָּן,mᵉtzuyan,"excellent, exceptional, wonderful (m,s)",8
מצוינת,מְצֻיֶּנֶת,mᵉtzuyenet,"excellent, exceptional, wonderful (f,s)",10
מצוינים,מְצֻיָּנִים,mᵉtzuyyanim,"excellent, exceptional, wonderful (m,p)",11
מצוינות,מְצֻיָּנוֹת,mᵉtzuyyanot,"excellent, exceptional, wonderful (f,p)",11
הכרחי,הֶכְרֵכִי,hekhrekhi,"necessary (m,s)",9
הכרחית,הֶכְרֵחִית,hekhreḥit,"necessary (f,s)",10
הכרחיים,הֶכְרֵחִיִּים,hekhreḥiyyim,"necessary (m,p)",13
הכרחיות,הֶכְרֵחִיּוֹת,hekhreḥiyyot,"necessary (f,p)",13
פשוט,פָּשׁוּט,pashut,"simple, plain (m,s)",8
פשוטה,פְּשׁוּטָה,pshuta,"simple, plain (f,s)",10
פשוטים,פְּשׁוּטִים,pshutim,"simple, plain (m,p)",11
פשוטות,פְּשׁוּטוֹת,pshutot,"simple, plain (f,p)",11
מגעיל,מַגְעִיל,mag‘il,"disgusting, nauseating, nasty (m,s)",8
מגעילה,מַגְעִילָה,mag‘ila,"disgusting, nauseating, nasty (f,s)",10
מגעילים,מַגְעִילִים,mag‘ilim,"disgusting, nauseating, nasty (m,p)",11
מגעילות,מַגְעִילוֹת,mag‘ilot,"disgusting, nauseating, nasty (f,p)",11
חי,חַי,ḥay,"live, alive, living (m,s)",3
חיה,חַיָּה,ḥayya,"live, alive, living (f,s)",6
חיים,חַיִּים,ḥayyim,"live, alive, living (m,p)",7
חיות,חַיּוֹת,ḥayyot,"live, alive, living (f,p)",7
פרטי,פְּרָטִי,prati,"private, individual, personal (m,s)",8
פרטית,פְּרָטִית,pratit,"private, individual, personal (f,s)",9
פרטיים,פְּרָטִיִּים,pratiyyim,"private, individual, personal (m,p)",12
פרטיות,פְּרָטִיּוֹת,pratiyyot,"private, individual, personal (f,p)",12
נהדר,נֶהֱדָר,nehedar,"wonderful, magnificent, great (m,s)",7
נהדרת,נֶהֱדֶרֶת,nehdaret,"wonderful, magnificent, great (f,s)",9
נהדרים,נֶהֱדָרִים,nehedarim,"wonderful, magnificent, great (m,p)",10
נהדרות,נֶהֱדָרוֹת,nehedarot,"wonderful, magnificent, great (f,p)",10
נחמד,נֶחְמָד,neḥmad,"nice, lovely (m,s)",7
נחמדה,נֶחְמָדָה,neḥmada,"nice, lovely (f,s)",9
נחמדים,נֶחְמָדִים,neḥmadim,"nice, lovely (m,p)",10
נחמדות,נֶחְמָדוֹת,neḥmadot,"nice, lovely (f,p)",10
אפשרי,אֶפְשָׁרִי,’efshari,"possible (m,s)",10
אפשרית,אֶפְשָׁרִית,’efsharit,"possible (f,s)",11
אפשריים,אֶפְשָׁרִיִּים,’efshariyyim,"possible (m,p)",14
אפשריות,אֶפְשָׁרִיּוֹת,’efshariyyot,"possible (f,p)",14
עשיר,עָשִׁיר,‘ashir,"rich, wealthy, abundant (m,s)",7
עשירה,עֲשִׁירָה,‘ashira,"rich, wealthy, abundant (f,s)",9
עשירים,עֲשִׁירִים,‘ashirim,"rich, wealthy, abundant (m,p)",10
עשירות,עֲשִׁירוֹת,‘ashirot,"rich, wealthy, abundant (f,p)",10
יקר,יָקָר,yaqar,"expensive, dear (m,s)",5
יקרה,יְקָרָה,yᵉqara,"expensive, dear (f,s)",7
יקרים,יְקָרִים,yᵉqarim,"expensive, dear (m,p)",8
יקרות,יְקָרוֹת,yᵉqarot,"expensive, dear (f,p)",8
חלש,חַלָּשׁ,ḥallash,"weak, feeble (m,s)",7
חלשה,חַלָּשָׁה,ḥallasha,"weak, feeble (f,s)",9
חלשים,חַלָּשִׁים,ḥallashim,"weak, feeble (m,p)",10
חלשות,חַלָּשׁוֹת,ḥallashot,"weak, feeble (f,p)",10
חזק,חָזָק,ḥazaq,"strong, powerful (m,s)",5
חזקה,חֲזָקָה,ḥazaqa,"strong, powerful (f,s)",7
חזקים,חֲזָקִים,ḥazaqim,"strong, powerful (m,p)",8
חזקות,חֲזָקוֹת,ḥazaqot,"strong, powerful (f,p)",8
חשוב,חָשׁוּב,ḥashuv,"important (m,s)",7
חשובה,חֲשׁוּבָה,ḥashuva,"important (f,s)",9
חשובים,חֲשׁוּבִים,ḥashuvim,"important (m,p)",10
חשובות,חֲשׁוּבוֹת,ḥashuvot,"important (f,p)",10
נקי,נָקִי,naqi,"clean, pure, innocent (m,s)",5
נקייה,נְקִיָּה,nᵉqiyya,"clean, pure, innocent (f,s)",8
נקיים,נְקִיִּים,nᵉqiyyim,"clean, pure, innocent (m,p)",9
נקיות,נְקִיּוֹת,nᵉqiyyot,"clean, pure, innocent (f,p)",9
מרכזי,מֶרְכָּזִי,merkazi,"central (m,s)",10
מרכזית,מֶרְכָּזִית,merkazit,"central (f,s)",11
מרכזיים,מֶרְכָּזִיִּים,merkaziyyim,"central (m,p)",14
מרכזיות,מֶרְכָּזִיּוֹת,merkaziyyot,"central (f,p)",14
סגור,סָגוּר,sgur,"closed (m,s)",6
סגורה,סְגוּרָה,sgura,"closed (f,s)",8
סגורים,סְגוּרִים,sgurim,"closed (m,p)",9
סגורות,סְגוּרוֹת,sgurot,"closed (f,p)",9
מלוכלך,מְלֻכְלָךְ,mᵉlukhlakh,"dirty (m,s)",10
מלוכלכת,מְלֻכְלֶכֶת,mᵉlukhlekhet,"dirty (f,s)",11
מלוכלכים,מְלֻכְלָכִים,mᵉlukhlakhim,"dirty (m,p)",12
מלוכלכות,מְלֻכְלָכוֹת,mᵉlukhlakhot,"dirty (f,p)",12
מיוחד,מְיֻחָד,mᵉyuḥad,"special, unique (m,s)",7
מיוחדת,מְיֻחֶדֶת,mᵉyuḥedet,"special, unique (f,s)",9
מיוחדים,מְיֻחָדִים,mᵉyuḥadim,"special, unique (m,p)",10
מיוחדות,מְיֻחָדוֹת,mᵉyuḥadot,"special, unique (f,p)",10
רגיל,רָגִיל,rᵉgil,"regular, ordinary, usual (m,s)",6
רגילה,רְגִילָה,rᵉgila,"regular, ordinary, usual (f,s)",8
רגילים,רְגִילִים,rᵉgilim,"regular, ordinary, usual (m,p)",9
רגילות,רְגִילוֹת,rᵉgilot,"regular, ordinary, usual (f,p)",9
צעיר,צָעִיר,tza‘ir,"young (m,s)",6
צעירה,צְעִירָה,tzᵉ‘ira,"young (f,s)",8
צעירים,צְעִירִים,tzᵉ‘irim,"young (m,p)",9
צעירות,צְעִירוֹת,tzᵉ‘irot,"young (f,p)",9
זקן,זָקֵן,zaqen,"old (of age) (m,s)",5
זקנה,זְקֵנָה,zqena,"old (of age) (f,s)",7
זקנים,זְקֵנִים,zqenim,"old (of age) (m,p)",8
זקנות,זְקֵנוֹת,zqenot,"old (of age) (f,p)",8
עייף,עָיֵף,‘ayef,"tired, fatigued, exhausted (m,s)",5
עייפה,עֲיֵפָה,‘ayefa,"tired, fatigued, exhausted (f,s)",7
עייפים,עֲיֵפִים,‘ayefim,"tired, fatigued, exhausted (m,p)",8
עייפות,עֲיֵפוֹת,‘ayefot,"tired, fatigued, exhausted (f,p)",8
בלתי אפשרי,בִּלְתִּי אֶפְשָׁרִי,bilti ’efshari,"impossible (m,s)",20
בלתי אפשרית,בִּלתִּי אֶפְשָׁרִית,bilti ’efsharit,"impossible (f,s)",20
משאיות,מַשָּׂאִיּוֹת,massa’iyyot,trucks ,13
לעיתים רחוקות,לְעִתִּים רְחוֹקוֹת,lᵉ‘ittim rᵉḥoqot,"rarely, infrequently",19
באופן,בְּאוֹפֵן,b’ofen,in a manner,9
באופן כללי,בְּאֹפֶן כְּלָלִי,bᵉ’ofen klali,"in general, generally",17
כל כך,כָּל כָּךְ,kol kakh,so (much/many),10
לאחרונה,לָאַחֲרוֹנָה,la’aḥarona,"lately, recently",12
מהר,מַהֵר,maher,"quickly, fast",5
בהחלט,בְּהֶחְלֵט,bᵉheḥlet,"definitely, certainly, without doubt",10
ביחד,בְּיַחַד,bᵉyaḥad,together,8
לאט,לְאַט,lᵉ’at,slowly,5
סביר להניח,סָבִיר לְהַנִּיחַ,savir lᵉhanniaḥ,"safe to assume, stands to reason",17
מיד,מִיָּד,miyyad,"immediately, at once, promptly",6
לאו דווקא,לָאו דַּוְקָא,la’v davqa’,"not necessarily, not specifically",13
בכל מקום,בְּכָל מָקוֹם,bkhol maqom,everywhere,13
פעמיים,פַּעֲמַיִם,pa‘amayim,"twice, two times",10
בערך,בְּעֵרֶךְ,bᵉ‘erekh,"approximately, sort of, roughly",9
בקלות,בְּקַלּוּת,bᵉqallut,easily,10
ברור,בָּרוּר,barur,"obvious, clear",7
לגמרי,לְגַמְרֵי,lᵉgamrei,"completely, entirely, totally, utterly",9
בקושי,בְּקֹשִׁי,bᵉqoshi,"with difficulty, hardly, barely",9
בדיוק,בְּדִיּוּק,bᵉdiyyuq,"exactly, precisely",10
דרך,דֶּרֶךְ,derekh,"road, way, path",7
לא בהכרח,לֹא בְּהֶכְרֵחַ,lo’ bᵉhekhreaḥ,not necessarily,15
סוף סוף,סוֹף סוֹף,sof sof,finally,9
מאוחר,מְאֻחָר,mᵉ’uḥar,"late, later",7
במיוחד,בִּמְיֻחָד,bimyuḥad,"especially, particularly, highly, exceptionally",10
כמעט,כִּמְעַט,kim‘at,"almost, nearly",8
במשך,בְּמֶשֶׁךְ,bmeshekh,"during, for",10
מספיק,מַסְפִּיק,maspiq,"enough, sufficient",9
אחר כך,אַחַר כָּךְ,’aḥar kakh,"later, afterwards",11
בינתיים,בֵּינְתַייִם,beintayyim,"meanwhile, in the meantime",12
כרגע,כָּרֶגַע,karega‘,"just now, right now, at the moment",8
בקרוב,בְּקָרוֹב,bᵉqarov,"soon, shortly",9
בדרך כלל,בְּדֶרֶךְ כְּלָל,b’derekh klal,"usually, normally",16
לבד,לְבַד,lᵉvad,alone,5
בכל אופן,בְּכָל אֹפֶן,bᵉkhol ’ofen,"anyway, in either case, either way",12
הרחק,הַרְחֵק,harḥeq,far away,7
כמו תמיד,כְּמוֹ תָּמִיד,kmo tamid,as always,14
לפחות,לְפָחוֹת,lᵉfaḥot,at least,8
בעיקר,בְּעִקָּר,bᵉ‘iqqar,"mostly, mainly, especially, particularly",9
אחרת,אַחֶרֶת,’aḥeret,"other, another, diffferent (f,s)",7
ממש,מַמָּשׁ,mammash,"really, very",7
פה,פֹּה,poh,here (location),4
באמת,בֶּאֱמֶת,be’emet,"really, truly",8
לעתים רחוקות,לְעִתִּים רְחוֹקוֹת,lᵉ‘ittim rᵉḥoqot,"occasionally, seldom",19
לפעמים,לִפְעָמִים,lif‘amim,sometimes,10
שוב,שׁוּב,shuv,again,5
דיי,דַּי,day,enough,4
אך ורק,אַךְ וְרַק,’akh vᵉraq,only (stressed),10
בכל זאת,בְּכָל זֹאת,bᵉkhol zo’t,"anyway, nevertheless, in spite of it",11
פעם בכמה זמן,פַּעַם בְּכַמָּה זְמַן,pa‘am bkhamma zman,once in a while,22
לעתים קרובות,לְעִתִּים קְרוֹבוֹת,lᵉ‘ittim qrovot,"often, frequently",19
כאן,כָּאן,ka’n,here (location),5
באים,בָּאִים,ba’im,"comes (m,p)",7
מאוד,מְאֹד,mᵉ’od,very,5
פעמים,פְּעָמִים,pᵉ‘amim,times (p),9
כמו,כְּמוֹ,kmo,"like, as, similarly to",6
שם,שָׂם,sam,"puts (m,s)",4
כמוני,כָּמוֹנִי,kamoni,like me,9
הפעם,הַפַּעַם,happa‘am,this time,8
כמוךְ,כָּמוֹךְ,kamokh,like you,8
עוד,עוֹד,‘od,"more, yet, still",4
פעם,פַּעַם,pa‘am,"once, one time",6
שׁם,שָׁם,sham,there,4
אישה,אִשָּׁה,’ishsha,"wife, spouse, woman",7
משפחה,מִשְׁפָּחָה,mishpaḥa,family,11
אח,אָח,’aḥ,brother,3
אחים,אַחִים,’aḥim,brothers,6
אחות,אָחוֹת,’aḥot,"sister, nurse",6
אחיות,אֲחָיוֹת,’aḥayot,"sisters, nurses",8
אחיין,אַחְיָן,’aḥyan,nephew,7
אחיינים,אַחְיָנִים,’aḥyanim,nephews,10
אחיינית,אַחְיָנִית,’aḥyanit,niece,10
אחייניות,אַחְיָנִיּוֹת,’aḥyaniyyot,nieces,13
בת,בַּת,bat,daughter,4
בן,בֵּן,ben,son,4
בן זוג,בֵּן זוּג,ben zug,partner (m),9
בת זוג,בַּת זוּג,bat zug,partner (f),9
תינוק,תִּינוֹק,tinoq,baby (m),8
תינוקת,תִּינֹקֶת,tinoqet,baby (f),9
תינוקות,תִּינוֹקוֹת,tinoqot,babies,11
חיים,חַיִּים,ḥayyim,life,7
דוֹד,דּוֹד,dod,"uncle, (poetic) lover",5
דודה,דּוֹדָה,doda,aunt,7
חתן,חָתָן,ḥatan,"bridegroom, groom, son-in-law",5
כלה,כַּלָּה,kalla,"bride,daughter-in-law",7
בן דוד,בֶּן דּוֹד,ben dod,cousin (m),10
בת דודה,בַּת דּוֹדָה,bat doda,cousin (f),12
נכד,נֶכֶד,nekhed,grandson,5
נכדה,נֶכְדָּה,nekhda,granddaughter,8
נכדים,נְכָדִים,nᵉkhadim,grandchildren,8
נכדות,נְכָדוֹת,nᵉkhadot,granddaughters,8
נישואין,נִשּׂוּאִין,nissu’in,marriage,11
סבא,סַבָּא,sabba’,grandfather,6
סבים,סַבְּים,sabbym,grandfathers,7
סבתא,סָבְתָא,savta’,grandmother,7
סבתות,סָבְתוֹת,savtot,grandmothers,8
חתונה,חֲתֻנָּה,ḥatunna,wedding,8
הורה,הוֹרֶה,hore,parent,6
הורים,הוֹרִים,horim,parents,7
בעל,בַּעַל,ba‘al,"husband, spouse, master, owner",6
בעלים,בְּעָלִים,bᵉ‘alim,"husbands, owners",9
שֵם,שֵׁם,shem,name,4
שם משפחה,שֵׁם מִשְׁפָּחָה,shem mishpaḥa,surname,16
שם פרטי,שֵׁם פְּרָטִי,shem prati,first name,13
בעלי,בַּעְלִי,ba‘li,my husband,8
אחותו,אֲחוֹתוֹ,’aḥoto,its/his sister,8
אישתי,אִשְׁתִי,’ishti,my wife,8
אישתו,אִשְׁתוֹ,’ishto,his wife,8
אחותי,אֲחוֹתִי,’aḥoti,my sister,8
אחי,אָחִי,’aḥi,my brother,5
בן זוגי,בֵּן זוּגִי,ben zugi,my partner (m),11
בת זוגי,בַּת זוּגִי,bat zugi,my partner (f),11
בן זוגו,בֵּן זוּגוֹ,ben zugo,his partner (m),11
בת זוגו,בַּת זוּגוֹ,bat zugo,his partner (f),11
וילון,וִילוֹן ,vilon,"curtain, drape, soft palate (anatomy)",8
מרתף,מַרְתֵּף,martef,basement,8
צעצועים,צַעֲצוּעִים,tza‘atzu‘im,toys,11
גרה,גָּרָה,gara,"lives (f,s)",6
חלון,חַלּוֹן,ḥallon,window,7
שולחנות,שֻׁלְחָנוֹת,shulḥanot,tables,11
קיר,קִיר,qir,wall,4
מנקים,מְנַקִּים,mᵉnaqqim,"clean, tidy up (m,p)",9
חדר,חֶדֶר,ḥeder,room,5
כיסאות,כִּסְאוֹת,kis’ot,chairs,9
שכנה,שְׁכֵנָה,shkhena,neighbor (f),8
מטאטא,מַטְאֲטֵא,mat’ate’,broom,9
שכן,שָׁכֵן,shakhen,neighbor (m),6
שכנים,שְׁכֵנִים,shkhenim,"neighbors (m,p)",9
פח אשפה,פַּח אַשְׁפָּה,paḥ ’ashpa,trash can,14
מעלית,מַעֲלִית,ma‘alit,"elevator, lift",8
מקלט,מִקְלָט,miqlat,shelter,7
חדר אוכל,חֲדַר אֹכֶל,ḥadar ’okhel,dining room,11
מכונות כביסה,מְכוֹנוֹת כְּבִיסָה,mᵉkhonot kvisa,washing machines,19
סמרטוט,סְמַרְטוּט,smartut,rag,10
מכונת כביסה,מְכוֹנַת כְּבִיסָה,mᵉkhonat kvisa,washing machine,18
שוטפים,שוֹטְפִים,shotfim,"washing (m,p)",9
שואב,שוֹאֵב,sho’ev,"vacuum, pump, draw liquid or gas (m,s)",6
שואבת,שוֹאֶבֶת,sho’evet,"vacuum, pump, draw liquid or gas (f,s)",8
שואב אבק,שוֹאֵב אָבָק,sho’ev ’avaq,vacuum cleaner,12
כיור,כִּיּוֹר,kiyyor,sink,8
ברזים,בְּרָזִים,brazim,faucets,9
שוטפת,שוֹטֶפֶת,shotefet,"washing (f,s)",8
שוטף,שוֹטֵף,shotef,"washing (m,s)",6
שוטפים,שׁוֹטְפִים,shotfim,"washing (m,s)",10
שוטפות,שׁוֹטְפוֹת,shotfot,"washing (m,s)",10
כלים,כֵּלִים,kelim,"dishes, instruments, tools",7
חדר אורחים,חֲדַר אוֹרְחִים,ḥadar ’orḥim,"guest room, lounge",15
כרית,כָּרִית,karit,pillow,7
תקרה,תִּקְרָה,tiqra,ceiling,8
ארון,אָרוֹן,’aron,"closet, cupboard",6
שמיכות,שְׂמִיכוֹת,smikhot,blankets,10
עליית גג,עֲלִיַּת גַּג,‘aliyyat gag,attic,13
וילונות,וִילוֹנוֹת,vilonot,"curtains, drapes",10
שטיח,שָׁטִיחַ,shatiaḥ,carpet,8
סלון,סָלוֹן,salon,"living room, lounge",6
רהיט,רָהִיט,rahit,a piece of furniture,6
כתובת,כְּתֹבֶת,ktovet,address,8
מראה,מַרְאָה,mar’a,mirror,7
מרפסת,מִרְפֶּסֶת,mirpeset,"balcony, porch",10
כלי עבודה,כְּלִי עֲבוֹדָה,kli ‘avoda,"tool, instrument",15
חדר שינה,חֲדַר שֵׁנָה,ḥadar shena,bedroom,12
צעצוע,צַעֲצוּעַ,tza‘atzua‘,toy,9
גג,גַּג,gag,roof,4
מנורה,מְנוֹרָה,mᵉnora,"lamp, light, candelabrum, menorah",8
מנקֶה,מְנַקֶּה,mᵉnaqqe,"clean, tidy up (m,s)",8
מנורות,מְנוֹרוֹת,mᵉnorot,"lamps, lights, candelabrums, menorahs",9
בניין,בִּנְיָן,binyan,building,8
דוודים,דְּוָדִים,dvadim,boilers,9
אור,אוֹר,’or,light,4
מזגן,מַזְגָן,mazgan,air conditioner,7
גר,גָּר,gar,"lives (m,s)",4
אמבטיה,אַמְבַּטְיָה,’ambatya,"bath, bathtub",12
דירה,דִּירָה,dira,apartment,7
מדרגות,מַדְרֵגוֹת,madregot,stairs,10
ספה,סַפָּה,sappa,"sofa, couch",6
שירותים,שֵׁרוּתִים,sherutim,"toilet, bathroom, washroom, restroom, lavatory (literal word is ""services"")",10
מפתח,מַפְתֵּחַ,mafteaḥ,key,9
מיטה,מִטָּה,mitta,bed,6
בית,בַּיִת,bayit,home,6
כיסא,כִּסֵּא,kisse’,chair,7
בקבוק מים,בַּקְבּוּק מַיִם,baqbuq mayim,bottle of water,16
בקבוקי מים,בַּקְבּוּקֵי מַיִם,baqbuqei mayim,water bottles,18
בקבוק יין,בַּקְבּוּק יַיִן,baqbuq yayin,bottle of wine,16
בקבוקי יין,בַּקְבּוּקֵי יַיִן,baqbuqei yayin,wine bottles,18
בית ספר,בֵּית סֵפֶר,beit sefer,school,11
בתי ספר,בָּתֵּי סֵפֶר,battei sefer,schools,13
בית כנסת,בֵּית כְּנֶסֶת,beit kneset,synagogue,14
בתי כנסת,בָּתֵּי כְּנֶסֶת,battei kneset,synagogues,16
בית חולים,בֵּית חוֹלִים,beit ḥolim,hospital,13
בתי חולים,בָּתֵּי חוֹלִים,battei ḥolim,hospitals,15
בית משפט,בֵּית מִשְׁפָּט,beit mishpat,courthouse,15
בתי משפט,בָּתֵּי מִשְׁפָּט,battei mishpat,courthouses,17
בית קפה,בֵּית קָפֶה,beit qafe,"café, coffee shop",11
בתי קפה,בָּתֵּי קָפֶה,battei qafe,"cafes, coffee shops",13
בית מלון,בֵּית מָלוֹן,beit malon,hotel,12
בתי מלון,בָּתֵּי מָלוֹן,battei malon,hotels,14
ארוחת בוקר,אֲרוּחַת בֹּקֶר,’aruḥat boqer,breakfast,15
ארוחות בוקר,אֲרוּחוֹת בֹּקֶר,’aruḥot boqer,breakfasts,16
ארוחת צהריים,אֲרוּחַת צָהֳרַיִם,’aruḥat tzohorayim,lunch,18
ארוחות צהריים,אֲרוּחוֹת צָהֳרַיִם,’aruḥot tzohorayim,lunches,19
ארוחת ערב,אֲרוּחַת עֶרֶב,’aruḥat ‘erev,dinner,14
ארוחות ערב,אֲרוּחוֹת עֶרֶב,’aruḥot ‘erev,dinners,15
עוגת שוקולד,עוּגַת שׁוֹקוֹלָד,‘ugat shoqolad,chocolate cake,17
עוגות שוקולד,עוּגוֹת שׁוֹקוֹלָד,‘ugot shoqolad,chocolate cakes,18
עוגת גבינה,עוּגַת גְּבִינָה,‘ugat gvina,cheesecake,16
עוגות גבינה,עוּגוֹת גְּבִינָה,‘ugot gvina,cheesecakes,17
מכונת כביסה,מְכוֹנַת כְּבִיסָה,mᵉkhonat kvisa,washing machine,18
מכונות כביסה,מְכוֹנוֹת כְּבִיסָה,mᵉkhonot kvisa,washing machines,19
חדר אורחים,חֲדַר אוֹרְחִים,ḥadar ’orḥim,guest room,15
חדרי אורחים,חַדְרֵי אוֹרְחִים,ḥadrei ’orḥim,guest rooms,17
חדר שינה,חֲדַר שֵׁנָה,ḥadar shena,bed room,12
חדרי שינה,חַדְרֵי שֵׁנָה,ḥadrei shena,bedrooms,14
חדר אוכל,חֲדַר אֹכֶל,ḥadar ’okhel,dining room,11
חדרי אוכל,חַדְרֵי אֹכֶל,ḥadrei ’okhel,dining rooms,13
מיץ תפוזים,מִיץ תַּפּוּזִים,mitz tappuzim,orange juice,16
לעזור,לַעֲזוֹר,la‘azor,"to help, assist, aid",8
לישון,לִישׁוֹן,lishon,to sleep,8
ללכת,לָלֶכֶת,lalekhet,"to walk, go",7
לקבל,לְקַבֵּל,lᵉqabbel,"to get, receive; accept",8
לגעת,לָגַעַת,laga‘at,to touch (ב־),7
לשחות,לִשְׁחוֹת,lishḥot,to swim,9
לראות,לִרְאוֹת,lir’ot,to see,8
לעבוד,לַעֲבוֹד,la‘avod,"to work, operate, function",8
לתת,לָתֵת,latet,"to give, allow",5
לכתוב,לִכְתּוֹב,likhtov,to write,9
להיות,לִהְיוֹת,lihyot,to be,8
לשחק,לְשַׂחֵק,lᵉsaḥeq,to play,8
לבוא,לָבוֹא,lavo’,to come,6
לבשל,לְבַשֵּׁל,lᵉvashshel,to cook,9
לומר,לוֹמַר,lomar,"to say, tell",6
לרוץ,לָרוּץ,larutz,to run,6
למצוא,לִמְצוֹא,limtzo’,"to find, encounter",8
לדעת,לָדַעַת,lada‘at,to know,7
לעשות,לַעֲשׂוֹת,la‘asot,"to do, make, create",9
להגיד,לְהַגִּיד,lᵉhaggid,"to tell, say",9
לקחת,לָקַחַת,laqaḥat,to take,7
לקנות,לִקְנוֹת,liqnot,"to buy, purchase",8
